Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sara Doorsoun,de GER,DF,33-342,7,6,542,6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,7,28,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Jun Endō,jp JPN,"MF,FW",25-154,9,6,427,4.7,0,1,1,0,0,0,0,0,0.3,0.3,1.2,1.5,6,21,32,0,0.21,0.21,0,0.21,0.07,0.25,0.32,0.07,0.32,Matches
Nealy Martin,us USA,MF,27-186,6,5,495,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,24,7,0,0,0,0,0,0.02,0.07,0.08,0.02,0.08,Matches
Julie Dufour,fr FRA,"FW,MF",24-149,10,4,370,4.1,0,0,0,0,0,0,1,0,0,0,0.7,0.8,9,10,18,0,0,0,0,0,0.01,0.18,0.19,0.01,0.19,Matches
Hannah Seabert,dk DEN,GK,30-239,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Maiara,br BRA,MF,21-075,13,3,424,4.7,2,0,2,2,0,0,2,0,2.1,2.1,0.8,2.9,11,11,19,0.42,0,0.42,0.42,0.42,0.45,0.16,0.61,0.45,0.61,Matches
Hina Sugita,jp JPN,MF,28-267,3,3,270,3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,2,21,14,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15,Matches
Christen Press,us USA,"FW,MF",36-300,21,2,430,4.8,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,8,9,35,0.21,0,0.21,0.21,0.21,0.19,0.06,0.25,0.19,0.25,Matches
Casey Phair,kr KOR,"FW,MF",18-118,5,0,90,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,1,2,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Hannah Johnson,us USA,DF,22-247,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Sophia Mattice,us USA,"DF,MF",23-122,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches
Prisca Chilufya,zm ZAM,"MF,FW",26-139,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,2,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
Ali Riley,nz NZL,DF,37-360,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lily Nabet,us USA,MF,26-031,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Elizabeth Eddy,us USA,"DF,MF",34-042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bre Norris,us USA,GK,22-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hannah Stambaugh,jp JPN,GK,26-305,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
